title,studio,foreign_gross,year,original_language,popularity,release_date,vote_count,production_budget,domestic_gross,worldwide_gross,vote_average,start_year,runtime_minutes,genres,averagerating,numvotes,profit,profit_margin,release_month,release_month_name,release_quarter
edge of darkness,WB,37800000.0,2010,en,11.252,2010-01-29,794,60000000.0,43313890.0,82812456.0,6.3,2010,117.0,"Crime,Drama,Mystery",6.6,84753,22812456.0,0.3802076,1,January,1
vampires suck,Fox,43900000.0,2010,en,8.992,2010-08-18,658,20000000.0,36661504.0,81424988.0,4.1,2010,82.0,Comedy,3.4,43984,61424988.0,3.0712494,8,August,3
letters to juliet,Sum.,26100000.0,2010,en,9.394,2010-05-14,1706,30000000.0,53032453.0,82148538.0,6.9,2010,105.0,"Adventure,Comedy,Drama",6.6,86137,52148538.0,1.7382846,5,May,2
the backup plan,CBS,40000000.0,2010,en,15.49,2010-04-23,806,35000000.0,37490007.0,75281179.0,6.0,2010,104.0,"Comedy,Romance",5.4,46128,40281179.0,1.1508908285714285,4,April,2
diary of a wimpy kid,Fox,11700000.0,2010,en,12.256,2010-03-19,736,15000000.0,64003625.0,76954311.0,6.0,2010,94.0,"Comedy,Drama,Family",6.2,38640,61954311.0,4.1302874,3,March,1
easy a,SGem,16600000.0,2010,en,14.69,2010-09-17,4168,8000000.0,58401464.0,76200721.0,6.8,2010,92.0,"Comedy,Drama,Romance",7.1,330125,68200721.0,8.525090125,9,September,3
takers,SGem,11300000.0,2010,en,8.969,2010-08-26,605,32000000.0,57744720.0,70587268.0,6.2,2010,107.0,"Action,Crime,Thriller",6.2,53377,38587268.0,1.205852125,8,August,3
the american,Focus,32299999.0,2010,en,9.042,2010-09-01,690,20000000.0,35606376.0,67950723.0,5.8,2010,105.0,"Crime,Drama,Thriller",6.3,86863,47950723.0,2.39753615,9,September,3
the last exorcism,LGF,26700000.0,2010,en,9.35,2010-08-27,519,1800000.0,41034350.0,70165900.0,5.6,2010,87.0,"Drama,Horror,Thriller",5.6,45815,68365900.0,37.98105555555556,8,August,3
the next three days,LGF,46300000.0,2010,en,11.147,2010-11-19,1469,30000000.0,21148651.0,67255916.0,7.0,2010,133.0,"Action,Crime,Drama",7.4,168066,37255916.0,1.2418638666666666,11,November,4
skyline,Uni.,45400000.0,2010,en,8.847,2010-11-12,833,10000000.0,21416355.0,68264973.0,4.8,2010,92.0,"Action,Sci-Fi,Thriller",4.4,83710,58264973.0,5.8264973,11,November,4
hot tub time machine,MGM,14300000.0,2010,en,10.15,2010-03-26,1383,36000000.0,50269859.0,65967750.0,6.0,2010,101.0,"Comedy,Sci-Fi",6.4,153962,29967750.0,0.8324375,3,March,1
devil,Uni.,29100000.0,2010,en,10.203,2010-09-17,1516,10000000.0,33679655.0,63354114.0,5.9,2010,80.0,"Horror,Mystery,Thriller",6.2,122080,53354114.0,5.3354114,9,September,3
devil,Uni.,29100000.0,2010,en,10.203,2010-09-17,1516,10000000.0,33679655.0,63354114.0,5.9,2016,126.0,"Comedy,Horror",6.2,799,53354114.0,5.3354114,9,September,3
127 hours,FoxS,42400000.0,2010,en,11.435,2010-11-05,4469,18000000.0,18335230.0,60217171.0,7.0,2010,94.0,"Adventure,Biography,Drama",7.6,323949,42217171.0,2.345398388888889,11,November,4
secretariat,BV,537000.0,2010,en,9.059,2010-10-08,200,35000000.0,59699513.0,60376247.0,7.0,2010,123.0,"Biography,Drama,Family",7.2,24536,25376247.0,0.7250356285714286,10,October,4
the ghost writer,Sum.,44700000.0,2010,en,7.829,2010-02-12,1135,45000000.0,15541549.0,65532491.0,6.8,2010,128.0,"Drama,Mystery,Thriller",7.2,148274,20532491.0,0.4562775777777778,2,February,1
morning glory,Par.,29000000.0,2010,en,10.595,2010-11-10,717,40000000.0,31011732.0,59795070.0,6.3,2010,107.0,"Comedy,Drama,Romance",6.5,67367,19795070.0,0.49487675,11,November,4
remember me,Sum.,37000000.0,2010,en,11.453,2010-03-12,2079,16000000.0,19068240.0,56506120.0,7.1,2010,113.0,"Drama,Romance",7.1,129443,40506120.0,2.5316325,3,March,1
remember me,Sum.,37000000.0,2010,en,11.453,2010-03-12,2079,16000000.0,19068240.0,56506120.0,7.1,2014,87.0,"Comedy,Romance",6.4,623,40506120.0,2.5316325,3,March,1
remember me,Sum.,37000000.0,2010,en,11.453,2010-03-12,2079,16000000.0,19068240.0,56506120.0,7.1,2016,85.0,Comedy,5.2,72,40506120.0,2.5316325,3,March,1
cop out,WB,10700000.0,2010,en,8.82,2010-02-26,796,37000000.0,44875481.0,55909910.0,5.4,2010,107.0,"Action,Comedy,Crime",5.6,81656,18909910.0,0.5110786486486486,2,February,1
the crazies,Over.,15700000.0,2010,en,12.246,2010-02-26,1036,19000000.0,39123589.0,56445534.0,6.2,2010,101.0,"Horror,Thriller",6.5,104465,37445534.0,1.9708175789473685,2,February,1
from paris with love,LGF,28700000.0,2010,en,12.862,2010-02-05,1075,52000000.0,24077427.0,53139168.0,6.2,2010,92.0,"Action,Crime,Thriller",6.5,107079,1139168.0,0.02190707692307692,2,February,1
the switch,Mira.,22100000.0,2010,en,7.745,2010-08-20,1008,19000000.0,27758465.0,49858465.0,6.1,2010,101.0,"Comedy,Drama,Romance",6.1,90661,30858465.0,1.6241297368421053,8,August,3
shes out of my league,Par.,17800000.0,2010,en,7.775,2010-03-12,970,20000000.0,32010860.0,48680977.0,6.1,2010,104.0,"Comedy,Romance",6.4,117245,28680977.0,1.43404885,3,March,1
how do you know,Sony,18500000.0,2010,en,6.753,2010-12-17,453,120000000.0,30212620.0,49628177.0,5.1,2010,121.0,"Comedy,Drama,Romance",5.4,41072,-70371823.0,-0.5864318583333333,12,December,4
charlie st cloud,Uni.,17000000.0,2010,en,9.454,2010-05-01,1398,44000000.0,31206263.0,48478084.0,6.9,2010,99.0,"Drama,Fantasy,Romance",6.5,55016,4478084.0,0.10177463636363636,5,May,2
scott pilgrim vs the world,Uni.,16100000.0,2010,en,14.383,2010-08-13,3882,85000000.0,31611316.0,48056764.0,7.3,2010,112.0,"Action,Comedy,Fantasy",7.5,339338,-36943236.0,-0.43462630588235296,8,August,3
the spy next door,LGF,20900000.0,2010,en,10.746,2010-01-15,650,28000000.0,24307106.0,46752858.0,5.7,2010,94.0,"Action,Comedy,Family",5.5,36767,18752858.0,0.6697449285714285,1,January,1
machete,Fox,17500000.0,2010,en,12.557,2010-09-03,1862,12500000.0,26593646.0,46370970.0,6.3,2010,105.0,"Action,Crime,Thriller",6.6,182320,33870970.0,2.7096776,9,September,3
my name is khan,FoxS,38300000.0,2010,hi,7.619,2010-02-12,409,8470000.0,4046336.0,42355526.0,7.8,2010,165.0,Drama,8.0,90988,33885526.0,4.000652420306966,2,February,1
going the distance,WB (NL),24200000.0,2010,en,8.281,2010-09-03,394,32000000.0,17804299.0,43603990.0,6.0,2010,102.0,"Comedy,Romance",6.3,54421,11603990.0,0.3626246875,9,September,3
for colored girls,LGF,17300.0,2010,en,2.858,2010-11-05,33,21000000.0,37729698.0,38017873.0,6.8,2010,133.0,Drama,6.1,6728,17017873.0,0.8103749047619048,11,November,4
furry vengeance,Sum.,18600000.0,2010,en,9.45,2010-04-02,283,35000000.0,17630465.0,39340177.0,4.6,2010,92.0,"Comedy,Family",3.8,14700,4340177.0,0.12400505714285714,4,April,2
faster,CBS,12400000.0,2010,en,14.172,2010-11-23,895,24000000.0,23240020.0,35792945.0,6.2,2010,98.0,"Action,Crime,Drama",6.5,93618,11792945.0,0.49137270833333335,11,November,4
